Perimeter,Compactness,Length,Width,Asymetry,Groove,Kernel,Cluster,Silhouette
continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous
,,,,,,class,meta,meta
14.84,0.871,5.763,3.312,2.221,5.22,1,C1,0.6216111384545743
14.57,0.8811,5.554,3.333,1.018,4.956,1,C1,0.649747629942466
14.09,0.905,5.291,3.337,2.699,4.825,1,C1,0.6475162870583958
13.94,0.8955,5.324,3.379,2.259,4.805,1,C1,0.6535882682323966
14.99,0.9034,5.658,3.562,1.355,5.175,1,C1,0.5897916333119176
14.21,0.8951,5.386,3.312,2.462,4.956,1,C1,0.6601625672421098
14.49,0.8799,5.563,3.259,3.586,5.219,1,C1,0.6300154015691368
14.1,0.8911,5.42,3.302,2.7,5.0,1,C1,0.6589564511200795
15.46,0.8747,6.053,3.465,2.04,5.877,1,C2,0.599873284548577
15.25,0.888,5.884,3.505,1.969,5.533,1,C2,0.5059480946721547
14.85,0.8696,5.714,3.242,4.543,5.314,1,C1,0.5599829418946896
14.16,0.8796,5.438,3.201,1.717,5.001,1,C1,0.6558450853926063
14.02,0.888,5.439,3.199,3.986,4.738,1,C1,0.6088611826604756
14.06,0.8759,5.479,3.156,3.136,4.872,1,C1,0.6278048971922315
14.05,0.8744,5.482,3.114,2.932,4.825,1,C1,0.6253435179939892
14.28,0.8993,5.351,3.333,4.185,4.781,1,C1,0.6164716447688083
13.83,0.9183,5.119,3.383,5.234,4.781,1,C1,0.5730492095372434
14.75,0.9058,5.527,3.514,1.599,5.046,1,C1,0.6211433117266792
14.21,0.9153,5.205,3.466,1.767,4.649,1,C1,0.6369440293262054
13.57,0.8686,5.226,3.049,4.102,4.914,1,C1,0.4828322988076301
14.4,0.8584,5.658,3.129,3.072,5.176,1,C1,0.5831537968153063
14.26,0.8722,5.52,3.168,2.688,5.219,1,C1,0.6361231775126955
14.9,0.8988,5.618,3.507,0.7651,5.091,1,C1,0.6078931118259063
13.23,0.8664,5.099,2.936,1.415,4.961,1,C1,0.5770964830429274
14.76,0.8657,5.789,3.245,1.791,5.001,1,C1,0.6352694057417342
15.16,0.8849,5.833,3.421,0.903,5.307,1,C1,0.5727405543487518
13.76,0.8641,5.395,3.026,3.373,4.825,1,C1,0.5431375360771526
13.67,0.8564,5.395,2.956,2.504,4.869,1,C1,0.5436979486904165
14.18,0.882,5.541,3.221,2.754,5.038,1,C1,0.6547351951095735
14.02,0.8604,5.516,3.065,3.531,5.097,1,C1,0.5371523617862
13.82,0.8662,5.454,2.975,0.8551,5.056,1,C1,0.6123742681186499
14.94,0.8724,5.757,3.371,3.412,5.228,1,C1,0.5946410470386958
14.41,0.8529,5.717,3.186,3.92,5.299,1,C1,0.5208113407912789
14.17,0.8728,5.585,3.15,2.124,5.012,1,C1,0.6457879765700474
14.68,0.8779,5.712,3.328,2.129,5.36,1,C1,0.6175467175618481
15.0,0.9,5.709,3.485,2.27,5.443,1,C1,0.5528676156591559
15.27,0.8734,5.826,3.464,2.823,5.527,1,C2,0.504056347250282
15.38,0.9079,5.832,3.683,2.956,5.484,1,C2,0.5454174003568588
14.52,0.8823,5.656,3.288,3.112,5.309,1,C1,0.6310564427003563
14.17,0.8944,5.397,3.298,6.685,5.001,1,C1,0.5001906879569378
13.85,0.8871,5.348,3.156,2.587,5.178,1,C1,0.6456433817051253
13.85,0.8852,5.351,3.158,2.249,5.176,1,C1,0.6485405663262226
13.55,0.9009,5.138,3.201,2.461,4.783,1,C1,0.6344349535694832
14.86,0.882,5.877,3.396,4.711,5.528,1,C2,0.5218598727885668
14.54,0.8986,5.579,3.462,3.128,5.18,1,C1,0.6222067150346295
14.04,0.8794,5.376,3.155,1.56,4.961,1,C1,0.6496596757818198
14.76,0.8861,5.701,3.393,1.367,5.132,1,C1,0.627940888190015
14.56,0.8883,5.57,3.377,2.958,5.175,1,C1,0.6440261694107441
14.52,0.8819,5.545,3.291,2.704,5.111,1,C1,0.6583499615100271
14.67,0.8676,5.678,3.258,2.129,5.351,1,C1,0.624830305982043
14.4,0.8751,5.585,3.272,3.975,5.144,1,C1,0.6058220628971135
14.91,0.8923,5.674,3.434,5.593,5.136,1,C1,0.547129743250401
14.61,0.8538,5.715,3.113,4.116,5.396,1,C1,0.5033678394988478
14.28,0.8831,5.504,3.199,3.328,5.224,1,C1,0.6372205863695526
14.6,0.8557,5.741,3.113,1.481,5.487,1,C1,0.5981682883785308
14.77,0.8658,5.702,3.212,1.933,5.439,1,C1,0.6086466760035647
14.35,0.8818,5.388,3.377,2.802,5.044,1,C1,0.6539188446967721
14.43,0.9006,5.384,3.412,1.142,5.088,1,C1,0.6404474529071976
14.77,0.8857,5.662,3.419,1.999,5.222,1,C1,0.6258990212823812
13.47,0.8392,5.159,3.032,1.502,4.519,1,C1,0.5188488669534901
12.86,0.8683,5.008,2.85,2.7,4.607,1,C1,0.5101558412793381
12.63,0.884,4.902,2.879,2.269,4.703,1,C1,0.5571822759678551
13.19,0.8923,5.076,3.042,3.22,4.605,1,C1,0.5870379475175557
13.84,0.868,5.395,3.07,4.157,5.088,1,C1,0.5053692538721154
13.57,0.8716,5.262,3.026,1.176,4.782,1,C1,0.6142220656746793
13.5,0.8879,5.139,3.119,2.352,4.607,1,C1,0.6200958188371732
14.37,0.8726,5.63,3.19,1.313,5.15,1,C1,0.646141395631795
14.29,0.8625,5.609,3.158,2.217,5.132,1,C1,0.6236389858223552
14.39,0.8726,5.569,3.153,1.464,5.3,1,C1,0.6415845028974252
13.75,0.8458,5.412,2.882,3.533,5.067,1,C3,0.5873140227004452
15.98,0.8673,6.191,3.561,4.076,6.06,2,C2,0.6604091936860444
15.67,0.8623,5.998,3.484,4.675,5.877,2,C2,0.6229402109925714
15.73,0.8763,5.978,3.594,4.539,5.791,2,C2,0.6354949825743726
16.26,0.9081,6.154,3.93,2.936,6.079,2,C2,0.6566045251982313
15.51,0.8786,6.017,3.486,4.004,5.841,2,C2,0.6319773550011643
15.62,0.8638,5.927,3.438,4.92,5.795,2,C2,0.6039301295565594
15.91,0.8599,6.064,3.403,3.824,5.922,2,C2,0.6272232332989977
17.23,0.8763,6.579,3.814,4.451,6.451,2,C2,0.665660211639681
16.49,0.875,6.445,3.639,5.064,6.362,2,C2,0.6635908039488292
15.55,0.8892,5.85,3.566,2.858,5.746,2,C2,0.5972266813746394
15.34,0.8823,5.875,3.467,5.532,5.88,2,C2,0.6031613237373069
16.19,0.8977,6.006,3.857,5.324,5.879,2,C2,0.6437778373199202
16.89,0.8894,6.285,3.864,5.173,6.187,2,C2,0.6655283190985107
16.74,0.8779,6.384,3.772,1.472,6.273,2,C2,0.6513333053550158
16.71,0.878,6.366,3.801,2.962,6.185,2,C2,0.6751040767523698
16.09,0.887,6.173,3.651,2.443,6.197,2,C2,0.6642804351257775
16.26,0.8969,6.084,3.764,1.649,6.109,2,C2,0.6429742319132706
16.66,0.859,6.549,3.67,3.691,6.498,2,C2,0.6589437994408882
17.21,0.8989,6.573,4.033,5.78,6.231,2,C2,0.6498618617423647
17.05,0.9031,6.45,4.032,5.016,6.321,2,C2,0.6576846544862389
16.99,0.8746,6.581,3.785,1.955,6.449,2,C2,0.6558252740189928
16.2,0.8984,6.172,3.796,3.12,6.053,2,C2,0.6691677664955317
16.29,0.8906,6.272,3.693,3.237,6.053,2,C2,0.6750075749644231
16.05,0.9066,6.037,3.86,6.001,5.877,2,C2,0.6273989923945629
16.52,0.8452,6.666,3.485,4.933,6.448,2,C2,0.6352861380127869
15.65,0.8648,6.139,3.463,3.696,5.967,2,C2,0.6398945477070435
16.59,0.8815,6.341,3.81,3.477,6.238,2,C2,0.6788048308399335
16.57,0.8687,6.449,3.552,2.144,6.453,2,C2,0.6530352341351788
16.26,0.8637,6.271,3.512,2.853,6.273,2,C2,0.6558461896794908
16.34,0.881,6.219,3.684,2.188,6.097,2,C2,0.661922923408495
15.25,0.8866,5.718,3.525,4.217,5.618,2,C2,0.5501791646611608
15.86,0.8992,5.89,3.694,2.068,5.837,2,C2,0.613109339080651
16.5,0.8985,6.113,3.892,4.308,6.009,2,C2,0.66534482713942
16.63,0.8717,6.369,3.681,3.357,6.229,2,C2,0.6738986706515143
16.42,0.8829,6.248,3.755,3.368,6.148,2,C2,0.6790758302729035
16.29,0.8917,6.037,3.786,2.553,5.879,2,C2,0.6538381289275357
16.17,0.9056,6.152,3.806,2.843,6.2,2,C2,0.6607401671653135
15.86,0.88,6.033,3.573,3.747,5.929,2,C2,0.6559552122882086
16.92,0.8752,6.675,3.763,3.252,6.55,2,C2,0.6635085145940999
16.22,0.8865,6.153,3.674,1.738,5.894,2,C2,0.6388801911468486
16.12,0.8921,6.107,3.769,2.235,5.794,2,C2,0.6426563022608014
16.72,0.8716,6.303,3.791,3.678,5.965,2,C2,0.6702378566949387
16.31,0.9035,6.183,3.902,2.109,5.924,2,C2,0.6458334534124375
16.61,0.8722,6.259,3.737,6.682,6.053,2,C2,0.635483715150453
17.25,0.8859,6.563,3.991,4.677,6.316,2,C2,0.6641665442499974
16.45,0.8854,6.416,3.719,2.248,6.163,2,C2,0.6658563008035069
16.2,0.9077,6.051,3.897,4.334,5.75,2,C2,0.6402088644418944
16.45,0.889,6.245,3.815,3.084,6.185,2,C2,0.6769244870035149
16.23,0.9008,6.227,3.769,3.639,5.966,2,C2,0.6670926180626957
16.9,0.8811,6.493,3.857,3.063,6.32,2,C2,0.672435020113969
16.91,0.8897,6.315,3.962,5.901,6.188,2,C2,0.6538889046175371
16.12,0.8772,6.059,3.563,3.619,6.011,2,C2,0.6630974893444725
15.38,0.8588,5.762,3.387,4.286,5.703,2,C2,0.549312782353797
15.97,0.9077,5.98,3.771,2.984,5.905,2,C2,0.6404111613027628
14.89,0.9064,5.363,3.582,3.336,5.144,2,C1,0.6026388633808166
16.18,0.8999,6.111,3.869,4.188,5.992,2,C2,0.6635787524630243
16.41,0.8698,6.285,3.594,4.391,6.102,2,C2,0.6669048241160528
15.85,0.8993,5.979,3.687,2.257,5.919,2,C2,0.63271971781773
17.03,0.8735,6.513,3.773,1.91,6.185,2,C2,0.6559304164809234
15.66,0.8991,5.791,3.69,5.366,5.661,2,C2,0.5959711313804585
15.89,0.9108,5.979,3.755,2.837,5.962,2,C2,0.6360230844841708
16.32,0.8942,6.144,3.825,2.908,5.949,2,C2,0.6664259847942737
14.9,0.8706,5.884,3.268,4.462,5.795,2,C2,0.5504703060980375
15.33,0.8644,5.845,3.395,4.266,5.795,2,C2,0.5806105823040513
14.89,0.8823,5.776,3.408,4.972,5.847,2,C2,0.5680490794314964
14.66,0.899,5.477,3.465,3.6,5.439,2,C1,0.5834051749534268
15.76,0.8785,6.145,3.574,3.526,5.971,2,C2,0.6606263596310897
15.15,0.8527,5.92,3.231,2.64,5.879,2,C2,0.5343690138817383
15.11,0.858,5.832,3.286,2.725,5.752,2,C2,0.5082844046150662
15.18,0.885,5.872,3.472,3.769,5.922,2,C2,0.6092456853529982
13.92,0.848,5.472,2.994,5.304,5.395,3,C3,0.6226285528783945
13.94,0.8613,5.541,3.073,7.035,5.44,3,C3,0.5960615607963158
13.95,0.862,5.389,3.074,5.995,5.307,3,C3,0.6004500964015776
13.32,0.8652,5.224,2.967,5.469,5.221,3,C3,0.6207338162973182
13.4,0.8274,5.314,2.777,4.471,5.178,3,C3,0.6587205651168712
13.13,0.8167,5.279,2.687,6.169,5.275,3,C3,0.6578121099700709
13.13,0.8335,5.176,2.719,2.221,5.132,3,C3,0.5742944440325234
13.46,0.8658,5.267,2.967,4.421,5.002,3,C3,0.5730111175085186
13.71,0.8491,5.386,2.911,3.26,5.316,3,C3,0.5613118224682138
12.93,0.8107,5.317,2.648,5.462,5.194,3,C3,0.6553020981059058
13.23,0.8496,5.263,2.84,5.195,5.307,3,C3,0.6580120528763156
13.52,0.8249,5.405,2.776,6.992,5.27,3,C3,0.6475562170785761
13.6,0.8333,5.408,2.833,4.756,5.36,3,C3,0.6519272299737362
13.04,0.8266,5.22,2.693,3.332,5.001,3,C3,0.6290282153084621
13.05,0.8382,5.175,2.755,4.048,5.263,3,C3,0.6525984120084035
13.05,0.8253,5.25,2.675,5.813,5.219,3,C3,0.6665429918082264
12.87,0.8596,5.053,2.849,3.347,5.003,3,C3,0.5716590266785494
13.73,0.8081,5.394,2.745,4.825,5.22,3,C3,0.6423548368850246
13.52,0.8082,5.444,2.678,4.378,5.31,3,C3,0.6375370334162055
13.22,0.8263,5.304,2.695,5.388,5.31,3,C3,0.6659626593028907
13.67,0.8425,5.451,2.879,3.082,5.491,3,C3,0.5663888552266436
13.33,0.8503,5.35,2.81,4.271,5.308,3,C3,0.6357863848563267
13.41,0.8416,5.267,2.847,4.988,5.046,3,C3,0.6625479967722907
13.57,0.8558,5.333,2.968,4.419,5.176,3,C3,0.6094316245570898
12.79,0.8558,5.011,2.794,6.388,5.049,3,C3,0.6472868503718749
13.15,0.8793,5.105,2.941,2.201,5.056,3,C1,0.5877610618899557
13.59,0.8462,5.319,2.897,4.924,5.27,3,C3,0.650559130826247
13.45,0.8443,5.417,2.837,3.638,5.338,3,C3,0.61091450578392
13.12,0.8291,5.176,2.668,4.337,5.132,3,C3,0.6610383054513657
13.0,0.8359,5.09,2.715,3.521,5.088,3,C3,0.6361164183043517
13.0,0.8189,5.325,2.701,6.735,5.163,3,C3,0.6535555486986662
13.1,0.8455,5.167,2.845,6.715,4.956,3,C3,0.6516102903446496
12.97,0.8419,5.088,2.763,4.309,5.0,3,C3,0.6555128802319091
13.08,0.8375,5.136,2.763,5.588,5.089,3,C3,0.6706296857847254
12.96,0.8099,5.278,2.641,5.182,5.185,3,C3,0.6544071837907689
12.57,0.859,4.981,2.821,4.773,5.063,3,C3,0.635318756148808
13.01,0.8355,5.186,2.71,5.335,5.092,3,C3,0.6718252730806402
12.73,0.8329,5.145,2.642,4.702,4.963,3,C3,0.6623968366423586
13.05,0.8473,5.18,2.758,5.876,5.002,3,C3,0.6631227693306156
13.47,0.8453,5.357,2.893,1.661,5.178,3,C1,0.5148771504298486
12.95,0.856,5.09,2.775,4.957,4.825,3,C3,0.6404627088833397
13.41,0.8706,5.236,3.017,4.987,5.147,3,C3,0.5789197779695087
13.36,0.8579,5.24,2.909,4.857,5.158,3,C3,0.6355764926779439
13.07,0.8575,5.108,2.85,5.209,5.135,3,C3,0.6492064623663789
13.77,0.8541,5.495,3.026,6.185,5.316,3,C3,0.6205728437512535
13.31,0.8198,5.363,2.683,4.062,5.182,3,C3,0.646458864056642
13.45,0.8198,5.413,2.716,4.898,5.352,3,C3,0.6541143185198516
12.8,0.8372,5.088,2.675,4.179,4.956,3,C3,0.6528949501575486
12.82,0.8594,5.089,2.821,7.524,4.957,3,C3,0.6284394636841224
12.41,0.8648,4.899,2.787,4.975,4.794,3,C3,0.6134570441690796
12.8,0.839,5.046,2.717,5.398,5.045,3,C3,0.667485914790922
12.86,0.8563,5.091,2.804,3.985,5.001,3,C3,0.6213114220980611
13.02,0.8795,5.132,2.953,3.597,5.132,3,C1,0.5192468708162694
12.83,0.8256,5.18,2.63,4.853,5.089,3,C3,0.664813392700867
13.27,0.8639,5.236,2.975,4.132,5.012,3,C3,0.571084980696539
13.47,0.886,5.16,3.126,4.873,4.914,3,C1,0.5155526240726939
13.53,0.8786,5.224,3.054,5.483,4.958,3,C3,0.5504577024237227
13.78,0.8849,5.32,3.128,4.67,5.091,3,C1,0.544439160808598
13.67,0.8481,5.41,2.911,3.306,5.231,3,C3,0.5675324192547327
13.38,0.8964,5.073,3.155,2.828,4.83,3,C1,0.6199677367871743
13.44,0.8609,5.219,2.989,5.472,5.045,3,C3,0.6269867593973394
13.32,0.8977,4.984,3.135,2.3,4.745,3,C1,0.6173079994298342
12.72,0.868,5.009,2.81,4.051,4.828,3,C3,0.5784146088270432
13.41,0.8874,5.183,3.091,8.456,5.0,3,C3,0.5671218192609736
13.47,0.8567,5.204,2.96,3.919,5.001,3,C3,0.5859108055517626
13.2,0.8783,5.137,2.981,3.631,4.87,3,C1,0.5329320844016648
12.88,0.8511,5.14,2.795,4.325,5.003,3,C3,0.645421767662952
13.66,0.8883,5.236,3.232,8.315,5.056,3,C3,0.5541206909967472
13.21,0.8521,5.175,2.836,3.598,5.044,3,C3,0.6076390826383941
13.34,0.8684,5.243,2.974,5.637,5.063,3,C3,0.6106188856346414
